datum,Product,Sales
10/31/2015,M01AE,127.231
10/31/2015,N02BA,146.2
10/31/2015,N02BE,1574.335
10/31/2015,N05B,222
10/31/2015,N05C,8
10/31/2015,R03,184
10/31/2015,R06,72
11/30/2015,M01AB,152.78
11/30/2015,M01AE,128.233
11/30/2015,N02BA,145.9
11/30/2015,N02BE,1277.725
11/30/2015,N05B,228
11/30/2015,N05C,18
11/30/2015,R03,195
11/30/2015,R06,44
12/31/2015,M01AB,159.46
12/31/2015,M01AE,131.291
12/31/2015,N02BA,137
12/31/2015,N02BE,1258.349
12/31/2015,N05B,286
12/31/2015,N05C,28
12/31/2015,R03,231
12/31/2015,R06,41.73
1/31/2016,M01AB,171.65
1/31/2016,M01AE,128.402
1/31/2016,N02BA,172.5
1/31/2016,N02BE,1476.324
1/31/2016,N05B,248
1/31/2016,N05C,24
1/31/2016,R03,174
1/31/2016,R06,56.5
2/29/2016,M01AB,173.81
2/29/2016,M01AE,137.528
2/29/2016,N02BA,134.2
2/29/2016,N02BE,1224.862
2/29/2016,N05B,239
2/29/2016,N05C,20
2/29/2016,R03,245
2/29/2016,R06,58
3/31/2016,M01AB,156.64
3/31/2016,M01AE,180.589
3/31/2016,N02BA,148.4
3/31/2016,N02BE,1150.7
3/31/2016,N05B,250
3/31/2016,N05C,13
3/31/2016,R03,253
3/31/2016,R06,97.84
4/30/2016,M01AB,166.61
4/30/2016,M01AE,146.526
4/30/2016,N02BA,147.7
4/30/2016,N02BE,998.337
4/30/2016,N05B,318
4/30/2016,N05C,18
4/30/2016,R03,216
4/30/2016,R06,162.4
5/31/2016,M01AB,167.36
5/31/2016,M01AE,120.861
5/31/2016,N02BA,130.55
5/31/2016,N02BE,997.15
5/31/2016,N05B,275
5/31/2016,N05C,18
5/31/2016,R03,131
5/31/2016,R06,137.1
6/30/2016,M01AB,169.67
6/30/2016,M01AE,114.961
6/30/2016,N02BA,117.75
6/30/2016,N02BE,760.05
6/30/2016,N05B,311
6/30/2016,N05C,20
6/30/2016,R03,127
6/30/2016,R06,134.8
7/31/2016,M01AB,203.97
7/31/2016,M01AE,141.019
7/31/2016,N02BA,137.9
7/31/2016,N02BE,652.362
7/31/2016,N05B,240
7/31/2016,N05C,8
7/31/2016,R03,109
7/31/2016,R06,116.83
8/31/2016,M01AB,211.13
8/31/2016,M01AE,114.375
8/31/2016,N02BA,132.7
8/31/2016,N02BE,753.05
8/31/2016,N05B,275.5
8/31/2016,N05C,12
8/31/2016,R03,116
8/31/2016,R06,85.3
9/30/2016,M01AB,172.96
9/30/2016,M01AE,126.218
9/30/2016,N02BA,116.7
9/30/2016,N02BE,1118.699
9/30/2016,N05B,307
9/30/2016,N05C,18
9/30/2016,R03,121
9/30/2016,R06,69.3
10/31/2016,M01AB,186.76
10/31/2016,M01AE,142.056
10/31/2016,N02BA,160.15
10/31/2016,N02BE,1617.275
10/31/2016,N05B,312
10/31/2016,N05C,11
10/31/2016,R03,220
10/31/2016,R06,60.9
11/30/2016,M01AB,175.18
11/30/2016,M01AE,116.85
11/30/2016,N02BA,133.85
11/30/2016,N02BE,1062.686
11/30/2016,N05B,246
11/30/2016,N05C,27
11/30/2016,R03,150
11/30/2016,R06,51.2
12/31/2016,M01AB,169.32
12/31/2016,M01AE,135.056
12/31/2016,N02BA,132.4
12/31/2016,N02BE,1624.335
12/31/2016,N05B,257
12/31/2016,N05C,18
12/31/2016,R03,275
12/31/2016,R06,34.9
1/31/2017,M01AB,0
1/31/2017,M01AE,0
1/31/2017,N02BA,0
1/31/2017,N02BE,0
1/31/2017,N05B,1
1/31/2017,N05C,0
1/31/2017,R03,0
1/31/2017,R06,0
2/28/2017,M01AB,139.69
2/28/2017,M01AE,103.517
2/28/2017,N02BA,97
2/28/2017,N02BE,526.35
2/28/2017,N05B,144
2/28/2017,N05C,7
2/28/2017,R03,117
2/28/2017,R06,30.6
3/31/2017,M01AB,162.85
3/31/2017,M01AE,111.055
3/31/2017,N02BA,107.35
3/31/2017,N02BE,612.5
3/31/2017,N05B,165
3/31/2017,N05C,9
3/31/2017,R03,139
3/31/2017,R06,100.1
4/30/2017,M01AB,155.61
4/30/2017,M01AE,101.215
4/30/2017,N02BA,100.5
4/30/2017,N02BE,540.2
4/30/2017,N05B,132
4/30/2017,N05C,9
4/30/2017,R03,209
4/30/2017,R06,122.4
5/31/2017,M01AB,143.66
5/31/2017,M01AE,118.125
5/31/2017,N02BA,98.95
5/31/2017,N02BE,547.94
5/31/2017,N05B,148
5/31/2017,N05C,23
5/31/2017,R03,128
5/31/2017,R06,161.81
6/30/2017,M01AB,122.33
6/30/2017,M01AE,103.006
6/30/2017,N02BA,119.6
6/30/2017,N02BE,496.1
6/30/2017,N05B,163
6/30/2017,N05C,8
6/30/2017,R03,163
6/30/2017,R06,151.9
7/31/2017,M01AB,159.67
7/31/2017,M01AE,116.206
7/31/2017,N02BA,75.2
7/31/2017,N02BE,479.35
7/31/2017,N05B,219
7/31/2017,N05C,15
7/31/2017,R03,115
7/31/2017,R06,81.1
8/31/2017,M01AB,170.15
8/31/2017,M01AE,112.47
8/31/2017,N02BA,84.4
8/31/2017,N02BE,549.3
8/31/2017,N05B,239
8/31/2017,N05C,12
8/31/2017,R03,75
8/31/2017,R06,60.1
9/30/2017,M01AB,138.33
9/30/2017,M01AE,118.711
9/30/2017,N02BA,88.15
9/30/2017,N02BE,863.75
9/30/2017,N05B,223
9/30/2017,N05C,23
9/30/2017,R03,139
9/30/2017,R06,66.9
10/31/2017,M01AB,137.64
10/31/2017,M01AE,88.737
10/31/2017,N02BA,100.4
10/31/2017,N02BE,1184.35
10/31/2017,N05B,226
10/31/2017,N05C,15
10/31/2017,R03,247
10/31/2017,R06,51
11/30/2017,M01AB,163.85
11/30/2017,M01AE,119.78
11/30/2017,N02BA,104.45
11/30/2017,N02BE,867.899
11/30/2017,N05B,192
11/30/2017,N05C,15
11/30/2017,R03,196
11/30/2017,R06,46.6
12/31/2017,M01AB,160.01
12/31/2017,M01AE,121.663
12/31/2017,N02BA,115.15
12/31/2017,N02BE,1007.18
12/31/2017,N05B,226
12/31/2017,N05C,6
12/31/2017,R03,204
12/31/2017,R06,47.1
1/31/2018,M01AB,132.28
1/31/2018,M01AE,109.446
1/31/2018,N02BA,101.15
1/31/2018,N02BE,1134.325
1/31/2018,N05B,229
1/31/2018,N05C,11
1/31/2018,R03,219
1/31/2018,R06,49.5
2/28/2018,M01AB,128.36
2/28/2018,M01AE,132.804
2/28/2018,N02BA,114.65
2/28/2018,N02BE,1255.374
2/28/2018,N05B,268
2/28/2018,N05C,12
2/28/2018,R03,253
2/28/2018,R06,39.06
3/31/2018,M01AB,146.16
3/31/2018,M01AE,111.764
3/31/2018,N02BA,122.3
3/31/2018,N02BE,999.123
3/31/2018,N05B,381
3/31/2018,N05C,42
3/31/2018,R03,269
3/31/2018,R06,85.5
4/30/2018,M01AB,170.02
4/30/2018,M01AE,107.723
4/30/2018,N02BA,84.6
4/30/2018,N02BE,836.037
4/30/2018,N05B,289
4/30/2018,N05C,21
4/30/2018,R03,229
4/30/2018,R06,197.1
5/31/2018,M01AB,160.52
5/31/2018,M01AE,103.522
5/31/2018,N02BA,89.4
5/31/2018,N02BE,644.648
5/31/2018,N05B,259
5/31/2018,N05C,13
5/31/2018,R03,192
5/31/2018,R06,213.04
6/30/2018,M01AB,141.18
6/30/2018,M01AE,114.226
6/30/2018,N02BA,86.8
6/30/2018,N02BE,584.343
6/30/2018,N05B,248
6/30/2018,N05C,18
6/30/2018,R03,101
6/30/2018,R06,120.8
7/31/2018,M01AB,150.18
7/31/2018,M01AE,132.549
7/31/2018,N02BA,87.2
7/31/2018,N02BE,679.35
7/31/2018,N05B,283
7/31/2018,N05C,19
7/31/2018,R03,90
7/31/2018,R06,122.2
8/31/2018,M01AB,140
8/31/2018,M01AE,114.719
8/31/2018,N02BA,88.25
8/31/2018,N02BE,733.838
8/31/2018,N05B,253
8/31/2018,N05C,20
8/31/2018,R03,159
8/31/2018,R06,103.1
9/30/2018,M01AB,153.52
9/30/2018,M01AE,114.992
9/30/2018,N02BA,86.5
9/30/2018,N02BE,1058.262
9/30/2018,N05B,263
9/30/2018,N05C,12
9/30/2018,R03,205
9/30/2018,R06,88.1
10/31/2018,M01AB,144.71
10/31/2018,M01AE,129.4
10/31/2018,N02BA,76.05
10/31/2018,N02BE,1129.275
10/31/2018,N05B,287
10/31/2018,N05C,25
10/31/2018,R03,353
10/31/2018,R06,76.9
11/30/2018,M01AB,172.29
11/30/2018,M01AE,105.487
11/30/2018,N02BA,102.15
11/30/2018,N02BE,995.15
11/30/2018,N05B,252.2
11/30/2018,N05C,22
11/30/2018,R03,311
11/30/2018,R06,48.4
12/31/2018,M01AB,147.71
12/31/2018,M01AE,113.024
12/31/2018,N02BA,84.75
12/31/2018,N02BE,1213.95
12/31/2018,N05B,254
12/31/2018,N05C,27
12/31/2018,R03,384
12/31/2018,R06,53.1
1/31/2019,M01AB,179.7
1/31/2019,M01AE,222.351
1/31/2019,N02BA,99.7
1/31/2019,N02BE,1660.612
1/31/2019,N05B,295.2
1/31/2019,N05C,23
1/31/2019,R03,386
1/31/2019,R06,41.3
2/28/2019,M01AB,133.73
2/28/2019,M01AE,142.155
2/28/2019,N02BA,110.2
2/28/2019,N02BE,1001.212
2/28/2019,N05B,249.4
2/28/2019,N05C,12
2/28/2019,R03,226
2/28/2019,R06,69.5
3/31/2019,M01AB,154.52
3/31/2019,M01AE,113.118
3/31/2019,N02BA,83.35
3/31/2019,N02BE,941.05
3/31/2019,N05B,301.4
3/31/2019,N05C,19
3/31/2019,R03,257
3/31/2019,R06,169.5
4/30/2019,M01AB,161.39
4/30/2019,M01AE,100.165
4/30/2019,N02BA,88.1
4/30/2019,N02BE,647.65
4/30/2019,N05B,299.4
4/30/2019,N05C,22
4/30/2019,R03,259
4/30/2019,R06,179.1
5/31/2019,M01AB,168.04
5/31/2019,M01AE,97.258
5/31/2019,N02BA,104.1
5/31/2019,N02BE,703.562
5/31/2019,N05B,265.8
5/31/2019,N05C,26
5/31/2019,R03,322
5/31/2019,R06,135.4
6/30/2019,M01AB,151.54
6/30/2019,M01AE,101.627
6/30/2019,N02BA,103.2
6/30/2019,N02BE,610
6/30/2019,N05B,193
6/30/2019,N05C,25
6/30/2019,R03,142
6/30/2019,R06,156.04
7/31/2019,M01AB,181
7/31/2019,M01AE,103.541
7/31/2019,N02BA,92.8
7/31/2019,N02BE,649.8
7/31/2019,N05B,250.6
7/31/2019,N05C,20
7/31/2019,R03,115
7/31/2019,R06,105.2
8/31/2019,M01AB,181.91
8/31/2019,M01AE,88.269
8/31/2019,N02BA,84.2
8/31/2019,N02BE,518.1
8/31/2019,N05B,237
8/31/2019,N05C,26
8/31/2019,R03,145
8/31/2019,R06,97.3
9/30/2019,M01AB,161.07
9/30/2019,M01AE,111.437
9/30/2019,N02BA,93.5
9/30/2019,N02BE,984.48
9/30/2019,N05B,227.8
9/30/2019,N05C,16
9/30/2019,R03,161
9/30/2019,R06,109.1
10/31/2019,M01AB,44.37
10/31/2019,M01AE,37.3
10/31/2019,N02BA,20.65
10/31/2019,N02BE,295.15
10/31/2019,N05B,86
10/31/2019,N05C,7
10/31/2019,R03,37
10/31/2019,R06,11.13
